Indicator ID,Workshop,Workshop (Name),Workshop Date,Sex,Economy,Economy (Name),Fiscal Year,Other Economy,Organization,Workstream,Workstream (Name),Last Updated
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,Singapore,Unknown,Unknown,Unknown,Ministry of Trade and Industry,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Viet Nam,Unknown,Unknown,Unknown,STAMEQ,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Viet Nam,Unknown,Unknown,Unknown,Commission for standards metrology and quality of Vietnam ,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Republic of Korea,Unknown,Unknown,Unknown,Kats,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Republic of Korea,Unknown,Unknown,Unknown,Korea Agency of Technology and Standards,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Peru,Unknown,Unknown,Unknown,Ministry of Foreign Trade and Tourism,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-27,Male,Peru,Unknown,Unknown,Unknown,Agrarian Health Official Services as National Authority Control of  organic products,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-27,Male,Peru,Unknown,Unknown,Unknown,National service of agrarian health Peru,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-27,Female,Viet Nam,Unknown,Unknown,Unknown,"Commission for the Standards, metrology and Quality of Vietnam",recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-27,Male,United States of America,Unknown,Unknown,Unknown,USTR,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
